Name | Total rule apps | Nodes | Branches | Overall time | Automode time | Closed | Time per step | Memory
examples/./standard_key/java_dl/jml-information-flow.key .auto.key | 37392 | 27917 | 458 | 86045 | 82736 | 1 | 2.9636421 | 94929
examples/./heap/vstte10_05_Queue/LinkedList_reverse.key .auto.key | 49389 | 35652 | 317 | 34854 | 31460 | 1 | 0.88241893 | 93463
examples/./heap/list_recursiveSpec/ListOperationsNonNull_remove_normal_behavior.key .auto.key | 40427 | 17000 | 568 | 23423 | 20179 | 1 | 1.187 | 71286
examples/./heap/list_seq/SimplifiedLinkedList.remove.key .auto.key | 33904 | 32003 | 96 | 53820 | 50410 | 1 | 1.5751648 | 85992
examples/./standard_key/arith/gemplusDecimal/add.key .auto.key | 33569 | 27734 | 176 | 36677 | 33107 | 1 | 1.1937333 | 85476
examples/./heap/saddleback_search/Saddleback_search.key .auto.key | 38069 | 32379 | 145 | 269470 | 266104 | 1 | 8.218413 | 111189
examples/./performance-test/Modelfield(Modelfield__foo_08()).JML_operation_contract.0.key .auto.key | 21235 | 15012 | 192 | 21040 | 16073 | 1 | 1.0706768 | 52180
examples/./heap/list_recursiveSpec/ListOperationsNonNull_getNextNN_normal_behavior.key .auto.key | 17868 | 5379 | 347 | 9490 | 5962 | 1 | 1.1083845 | 45149
examples/./heap/vstte10_05_Queue/LinkedList_concat.key .auto.key | 17731 | 13041 | 131 | 17773 | 14189 | 1 | 1.0880301 | 56053
examples/./heap/list/ArrayList_concatenate.key .auto.key | 18016 | 12010 | 271 | 27430 | 23631 | 1 | 1.9676104 | 54341
examples/./standard_key/arith/median.key .auto.key | 13735 | 13404 | 27 | 16210 | 13023 | 1 | 0.9715757 | 60235
examples/./heap/coincidence_count/project.key .auto.key | 14592 | 12461 | 122 | 26635 | 23025 | 1 | 1.847765 | 52213
examples/./standard_key/java_dl/symmArray.key .auto.key | 19413 | 16708 | 77 | 82579 | 79267 | 1 | 4.744254 | 82570
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_08()).JML_normal_behavior_operation_contract.0.key .auto.key | 12104 | 6501 | 77 | 14727 | 10684 | 1 | 1.6434394 | 41722
examples/./heap/list_seq/ArrayList.remove.1.key .auto.key | 12075 | 8899 | 71 | 19869 | 16322 | 1 | 1.8341386 | 51437
examples/./standard_key/java_dl/strassen/strassen.key .auto.key | 10916 | 5088 | 165 | 17677 | 14209 | 1 | 2.7926493 | 101565
examples/./heap/removeDups/removeDup.key .auto.key | 10489 | 6643 | 60 | 17917 | 14506 | 1 | 2.183652 | 46932
examples/./performance-test/Dynamic(Dynamic__foo_08()).JML_operation_contract.0.key .auto.key | 10296 | 6118 | 98 | 15081 | 10870 | 1 | 1.7767245 | 41732
examples/./performance-test/AccessChain1(AccessChain1__foo_01()).JML_operation_contract.0.key.auto.key | 512 | 223 | 10 | 5201 | 923 | 1 | 4.1390133 | 20213
examples/./performance-test/AccessChain1(AccessChain1__foo_02()).JML_operation_contract.0.key.auto.key | 977 | 427 | 18 | 5833 | 1617 | 1 | 3.7868853 | 22500
